2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
사회과학대학,디지털기술경영전공,3,전공과목,,,0ABU1078,1,데이터베이스설계 및 개발,3,박기호,주간(천안),화5~6/목3,천)1호관210,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,3,전공과목,,,0ABU1079,1,디지털콘텐츠제작의 이해,3,채수만,주간(천안),월5~6/수5,천)1호관210/천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,3,전공과목,,,0ABU1082,1,디지털비즈니스시장조사론,3,조상섭,주간(천안),수6~7/목2,천)벤교302-e/천)1호관210,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,3,전공과목,,,0ABU1104,1,융복합 미디어 마케팅,3,김연정,주간(천안),화2/목7~8,천)1호관210,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,4,전공과목,,,0ABU1093,1,디지털콘텐츠비즈니스특론,3,이중만,주간(천안),수4/목7~8,천)1호관202-e,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털기술경영전공,4,전공과목,,,0ABU1094,1,빅데이터 경영,3,강소라,주간(천안),화2/수2~3,천)1호관209,타전공 수강 희망시 학과사무실로 연락 요망
사회과학대학,디지털비즈니스전공,4,전공과목,,,0ABO4340,1,CRM과데이터마이닝,3,채성욱,주간(천안),화5~6/목2,천)1호관209/천)1호관304,
사회과학대학,기술경영학전공,4,전공과목,,,0ABK4291,1,기술경영사례연구,3,이중만,주간(천안),월2/목5~6,천)1호관B12,
사회과학대학,법경찰행정학부,1,전공과목,공통트랙,,0ABM1050,1,행정학개론,3,김덕준,주간(천안),월5~6/수2,천)1호관401-e,
사회과학대학,법경찰행정학부,1,전공과목,공통트랙,,0ABM1050,2,행정학개론,3,김덕준,주간(천안),화5~6/수3,천)1호관401-e,
사회과학대학,법경찰행정학부,2,전공과목,심화트랙,행정학트랙,0ABI4177,1,현대사회와범죄,3,심형인,주간(천안),수2~3/금2,천)1호관208-e,
사회과학대학,응용통계학과,4,전공과목,,,0ACM4150,1,데이터마이닝,3,김혁,주간,목2~4,아)강석420-PC실,
사회과학대학,항공서비스학과,1,전공과목,,,0ABL1070,1,항공중국어초급Ⅰ,2,김시용,주간,월3~5,아)산학1별223-e,
사회과학대학,항공서비스학과,1,전공과목,,,0ABL4107,1,항공토익,3,유정선,주간,수8/금1~2,아)산학1별223-e,
사회과학대학,항공서비스학과,2,전공과목,,,0ABL2010,1,항공중국어중급1,2,김시용,주간,수2~4,아)산학1별223-e,
사회과학대학,항공서비스학과,2,전공과목,,,0ABL2040,1,항공일본어1,2,이영숙,주간,금4~6,아)산학1별223-e,
사회과학대학,항공서비스학과,2,전공과목,,,0ABL4139,1,호텔경영론,3,권한조,주간,화5~6/금2,아)산학1별224,
사회과학대학,항공서비스학과,3,전공과목,,,0ABL4134,1,식음료경영실무,2,권한조,주간,목1~3,아)산학1별223-e,
사회과학대학,항공서비스학과,3,전공필수,,,0ABL4116,1,항공운송실무,3,김시용,주간,화4~6,아)산학1별223-e,
사회과학대학,항공서비스학과,4,전공과목,,,0ABL4050,1,항공인터뷰영어2,2,유정선,주간,화1~3,아)산학1별224,면접복 착복에 한해 가능
사회과학대학,항공서비스학과,4,전공과목,,,0ABL4122,1,호텔관광마케팅,3,권한조,주간,수1~3,아)산학1호203,
생명보건대학,생명과학과,4,전공과목,,,0ACC4303,1,단백체학,3,강인철,주간,월7~8/수7,아)자연215-e,
생명보건대학,생명과학과,4,전공과목,,,0ACC4305,1,단백체학실험(캡스톤디자인),2,강인철,주간,화4~7,아)자연207,
생명보건대학,생명과학과,4,전공필수,,,0ACC4210,1,분자생물학,3,방인석,주간,월2/목2~3,아)자연215-e,
생명보건대학,식품공학전공,3,전공과목,,,0ACG5064,1,식품저장및포장학,3,임석원,주간,월6/화5~6,아)자연305-e/아)자연513-e,
생명보건대학,식품영양학과,2,전공과목,,,0ACE2190,1,생애주기영양학,3,박선민,주간,월5~6/목7,아)자연315-e/아)자연103-e,
생명보건대학,식품영양학과,2,전공필수,,,0ACE2250,1,생리학,3,정혜경,주간,수3/목1~2,아)자연215-e/아)자연315-e,
생명보건대학,식품제약공학부,2,전공과목,심화트랙,제약공학트랙,0ACQ0014,1,제제공학,3,장재범,주간,월5/수5~6,아)자연410-e/아)자연513-e,
생명보건대학,식품제약공학부,2,전공과목,심화트랙,식품공학트랙,0ACQ0017,1,생물공학,3,채희정,주간,화3/화5~6,아)자연407-e,
생명보건대학,임상병리학과,2,전공과목,,,0ACP1063,1,조직학,3,정동주,주간,월5~6/수6,아)RIC관212-e/아)RIC관211-e,
생명보건대학,임상병리학과,2,전공과목,,,0ACP1073,1,미생물학,3,진현석,주간,수8/목1~2,아)강석401-e/아)RIC관212-e,
생명보건대학,임상병리학과,2,전공과목,,,0ACP1096,1,혈액학,2,박상정,주간,수4~5,아)RIC관211-e,
생명보건대학,제약공학전공,3,전공과목,,,0ACJ3040,1,천연물약품학,3,이종혁,주간,수4/목3~4,아)자연103-e/아)자연410-e,
생명보건대학,화장품과학전공,3,전공과목,,,0ACF3300,1,생화학,3,이환명,주간,화5~6/목3,아)자연101-e/아)자연315-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,디지털제어공학과,4,전공과목,,,0ADH4160,1,전력전자공학,3,홍선기,주간,화3/화5~6,아)1공428,
공과대학,디지털제어공학전공,1,전공과목,,,0ADH1015,1,전기전자개론Ⅰ,3,,주간,금5~7,아)1공453-e,
